Addr|Addr(不再使用)|Addr(Not Use)
pq3i16_master|直接原料&單位成本調整主檔|Direct Raw Material & Unit Cost Adjust Mostly
pq3i30_01|永續盤存財務連線修改|Perpetual Inventory Finance Pipeline Modified
pq3i30_02|增加訂單變更拋轉追蹤管理|Add Order Change Migrated Pursue Management
pqm01|產品顏色配比資料|Item Match Colors Data
pqm02|產品顏色配比資料|Item Match Colors Data
pqm03|單據表頭  裁切 包裝表頭檔|Docs. Table Heading Trim Packing Table Head
pqm04|單據表頭  裁切 包裝表身檔|Docs. Table Heading Trim Packing Table Body
pqm05|單據包裝表身內包明細檔|Docs Packing Table Body Included Package Statement
pqm06|物料使用模具檔|Material Use Mold
pqm07|製品之物料使用模具檔|Item For Material Use Mold
pqm08|製品之物料使用模具檔|Item For Material Use Mold
pqm09|裁切模擬延伸檔案|Trim Simulation Extend
pqm10|裁切模擬延伸檔案|Trim Simulation Extend
pqm13|績效獎金計算作業-【生產績效】檔|Performance Bonus Calcu. Operation[Itemion Performance]
pqm14|績效獎金計算作業-【品質評價】檔|Performance Bonus Calcu. Operation[Quality Evaluate]
pqm15|品質評價獎金系數設定檔|Quality Evaluate Bonus Modulus Set
pqm16|績效獎金計算作業-【特殊貢獻獎金】檔|Performance Bonus Calculating Operation[specilize Proffer]
pqm17|各員工特殊貢獻獎金明細檔(其他加項--'1' 其他減項--'2')|Every Staff Specilize Proffer Statement(Other Add Item-'1' Other Minus Item-'2')
pqm18|各員工特殊貢獻獎金明細獎勵項目檔|Every Staff Specilize Proffer Bonus Detail Hortation Items
pqm20|廠商評核統計檔|Supplier Audit Statistical
pqm21|評分項目檔|Grade Items
pqm22|評分設定檔|Grade Set
pqm23|廠商考核等級檔|Supplier Check Level
pqm26|生管最高託工單價設定|PC The Max Sub-Contract Unit Price Set
pqm27|工作日報 單筆報工plm06多站工時明細檔|Daily Report Single Conf. Plm06 Multi Station Working Hour Statement
pqm28|工作中心隸屬群組設定|Work Center Subjection Group Set
psm01|工作中心/途程碼設定|Work Center/WIP Code Set
psm02|設備基本資料|Equipment Basic Data
psm03|工作中心、產品:使用設備明細|Work Center, Item:borrow Equipment Detail
psm04|途程編號、產品:製程明細|WIP No, Item: Process Detail
psm05|廠別基本資料設定|Supplier Type Basic Data Set
psm06|廠別所轄倉庫、工作中心設定|Supplier Type That Rule, Work Center Set
psm07|公司別預設供應商/生產單位檔|Company Type Default Supplier/Itemion Unit File
psm08|託工成本標準價設定|Sub-Contract Cost Standard Price Set
psm09|品管標準值設定檔|QC Standard Data Set
psm10|品管代碼表|QC Code Table
psm11|品管AQL抽檢標準主檔|QC AQL Audit Check Standard Mostly
psm12|品管AQL抽檢標準明細檔|QC AQL Audit Check Standard Statement
psm13|品管檢驗項目主檔|QC Inspection Item Mostly
psm14|品管檢驗項目明細檔|QC Inspection Item Statement
psm15|品管廠商評核標準規範檔|QC Supplier Vendor Evaluation SOP
psm16|產品BOM設計變更檔|Item BOM Design Change
psm17|產品BOM設計變更明細檔|Item BOM Design Change Statement
psm18|產品供應商/託工廠變更明細檔|Item Supplier/Sub-Contract Change Detail
psm19|製品自製途程/託外途程變更|FG Int. WIP/Ext WIP Change
psm20|製品成本估算檔|FG Price Est.
psm21|追蹤途程設定|Track WIP Set
psm22|採購店面(pq3i18生產進度追蹤第二版)|Purchases Shop(pq3i18 Itemion Scheudle Track NO.2)
psm26|抓取資料判斷碼開窗設定|Snatch At Data Judgement Code Cnt Set
ptem04|追加單據產品描述檔|Add Doc. Item Description
ptgm01|追加採購資料主檔|Add Purchases Data Mostly
ptgm02|追加採購資料明細檔|Add Purchases Data Detail
qam03|客戶追加程式安裝設定檔|Customer Add Program Setup Set
qam04|客戶追加程式資料檔|Customer Add Program  Data
qam06|物件價格申請作業|Thing Price Apply Operation
qam07|進口配貨作業|Import Fittings Operation
qam08|重新註冊申請作業表頭|Re-register Apply Operation Table Heading
qam09|重新註冊申請作業表身|Re-register Apply Operation Table Body
qam10|申請原因檔|Apply Cause
qam15|出入庫表主檔|Out/In Stock Main Data
qam16|放行單表頭檔|Let Go Order Table Head
qam17|放行單表身檔|Let Go Order Table Body
qam19|免稅品設定檔/扣折還原設定|Free Goods Set File/Discount Restore Setting
qam20|TO EXCEL 格式表頭檔|TO EXCEL Format Table Head
qam21|TO EXCEL 格式明細檔|TO EXCEL Format Statement
qam22|交期回復作業明細檔|Delivery Restore Operation Detail
qam23|W/S組裝檔|W/S Assembly
qam24|W/S備註檔|W/S Remark
qam25|W/S表頭檔|W/S Table Head
qam26|W/S明細檔|W/S Detail
qbm02|小數位數設定檔|Decimal Point Set
qbm03|採購單匯入資料記錄檔|Purchases Order Import Data Record
qbm04|用戶授權設定檔|User Authorized Set
qbm05|公司資料擴展檔|Company Expansion
qbm06|幣別小數位數設定檔|Decimal Point Set
qbm11|產品模具記錄檔|Item Mold Record
qbm12|訂單附件記錄檔|Order Attachment Record
qdm01|競賣主檔|Sale Mostly
qdm02|追加競賣明細檔|Sale Statement
qhm02|配送系統異動明細件數檔|Send System Change Detail Piece
qhm03|儲位有效日期資料檔|Bin No. Effective Date Data
qhm05|安全存量計算主檔|The Safety Stock Calculating Operation
qhm06|安全存量計算明細檔|The Safety Stock Calculating Operation Detail
qhm07|進貨單拋轉貨單產品檔|I.B. Deliv. Order Migrated SO Item
qhm08|進貨單配倉產品檔|I.B. Deliv. Order Match Warehouse Item
qhm09|進貨單配倉倉庫檔|I.B. Deliv. Order Match Warehouse
qhm10|業務員負責倉庫|Salesman In Charge Warehouse
qhm11|用戶運行程式記錄檔|User Run Program Record
qhm12|用戶運行程式設定檔|User Run Program Set
qhm13|出貨地點回寫記錄檔|Invoice Adress Write Back Record
qhm14|船務表頭檔|Shipping Table Head
qhm15|備註記錄檔|Remark Record
qim01|產品輸入順序加掛檔|Item Input Sequence Add
quotbak|庫存報價自定義報表-紙張偏移量|Stock Quote User-defined Statement-sheet Offset
quotoff|庫存報價自定義報表-紙張設定|Stock Quote User-defined Statement-sheet Setting
quottab|庫存報價自定義報表-頁面元件定義|Stock Quote User-defined Statement-Page Component Define
qym01|滑軌異動別設定檔|Slide Change Type Setting
qym02|滑軌異動主檔|Slide Change Mostly
qym03|滑軌異動明細檔|Slide Change Statement
qym04|滑軌長度切換主檔|Slide Length Switch Mostly
qym05|滑軌切換原件檔|Slide Switch Original
qym06|滑軌切換零件檔|Slide Switch Component
qym07|滑軌月異動檔|Slide Month Change
qym08|滑軌產品檔|Slide Item
sam01|公司組織架構檔|Company Organizational Structure
sam02|人事項目內容設定|Personnel Item Content Set
sam03|人事代碼設定|Personnel Code Setting
sam04|人事異動別設定|Personnel Change Type Set
sam05|人事薪資備註檔|Personnel Salary Remark File
sbm01|人事基本資料|Personnel Basic Data
sbm02|人事-證照學歷經驗檔|Personnel-According To Edu. Experience File
sbm03|人事-家庭成員/輔養親屬/眷口|Personnel-family Member/relative2foster/Family Dependents
sbm04|人事-備註摘要檔|Personnel-Remark Summary File
sbm05|員工考勤設定-排/代班資料|Stuff Attendance Set - Arrange/Replace Shift Data
sbm06|員工薪資項目設定|Stuff Salary Item Set
sbm07|人事異動記錄檔|Personnel Change Record
sbm08|員工調薪記錄檔|Staff Salary Adjust Record
sbm09|人才庫資料|Talent Data
sbm11|人事異動主檔|Personnel Change Mostly
sbm12|人事異動明細檔|Personnel Change Statement
sbm13|人力資源備註|Manpower Resource Remark
sbm14|大陸員工薪資設定|MainLand Staff Salary Setting
sbm15|員工財務部門異動紀錄|Finance Dep Change Record
scbak|訂單自定義報表-紙張設定|Order User-defined Statement- Sheet Setting
scm01|班別設定檔|Shift_Type Setting
scm02|班別休息/加班時段設定檔|Shift_Type Rest/Over Interval Setting
scm03|假別設定檔|Leave_Type Setting
scm04|公司考勤設定主檔|Company Attendance Setting Mostly
scm05|員工特休天數設定檔|Staff Special Rest Days Setting
scm06|加班種類|Overtime Type
scmenu1|頁面設定|Page Setting
scmenu2|架構圖設定|Structure Chart Set
scmenu3|標準頁面捷徑設定|Standard Page Shortcut Set
scmenu4|自定義頁面捷徑設定|User-defined Page Shortcut Set
scmenu5|存儲文字檔對應的圖片|Storage Word File Corresponding Chart
scoff|訂單自定義報表-紙張偏移量|Order User-defined Statement-sheet Offset
sctab|訂單自定義報表-頁面元件定義|Order User-defined Statement-Page Component Define
sdayduty|薪資公司班別上班日程設定|Salary Company Shift Type Clock_In Agenda Set
sdm01|員工輪值/輪休排班檔|Staff Rotate/Rotate Leave Shift
sdm02|統一調排班主檔|National Mix Shift Mostly
sdm03|統一調排班員工明細檔|National Mix Shift Statement
sdm04|員工出勤記錄明細檔|Staff Attendence Record Statement
sdm05|卡鐘/薪轉格式設定主檔|Card Bell/Salary Transform Format Set Mostly
sdm06|卡鐘/薪轉格式設定欄位對照檔|Card Bell/Salary Transform Format Set Field Collate
sdm07|員工輪值/輪休排班月檔|Staff Rotate/Rotate Leave Shift Month
sdm08|請假/公出/出差/加班申請|Leaving/Official Out/Away Business Apply
sdm09|加班(集中)申請之加班人員明細檔|Overtime(centralize)Apply Overtime Person Statement
sdm10|出勤補正單表頭檔|Attendence Certificated Paper Table Head
sdm11|出勤補正單表身檔|Attendence Certificated Paper Table Bady
sem01|數值級數設定檔|Value Series Setting
sem02|勞保費分擔金額設定|LaborInsur. Fee Share In Amount Set
sem03|薪資項目設定|Salary_Item Set
sem04|計件工作項目設定明細檔|Piece Task Title Set Statement
sem05|計薪發薪方式設定|Calc. Salary Payroll Type Set
sem06|大陸社保比率設定-主檔|MainLand Social Insurance Rate - Mostly
sem07|大陸社保比率設定-明細檔|MainLand Social Insurance Rate - Statement
semaphore|存檔信號燈記錄檔|Save Signal Register Record
sfm01|薪資/所得/獎金等主檔|Salary/income/bonus...Mostly
sfm02|員工實發薪資總額檔|Staff Actual Pay Amount
sfm03|員工實發薪資項目明細|Staff Actual Pay Amount Items Detail
sfm04|員工加班考勤扣款金額檔|Staff Overtime Attendance Deduct Amount
sfm05|員工計件明細(輸入)|Staff Piece-Work Detail(Input)
sfm06|員工計件薪資明細(計算)|Staff Piece-work Salary Detail(calculating)
sfm07|員工借款還款計劃|Staff Repaying Plan
sfm08|員工借款實際還款明細|Staff Repaying Amt. Detail
sfm09|調薪明細檔|Salary Adjust Detail
sfm10|勞退提撥記錄檔/大陸社保記錄檔|Persion Sends Record File/MainLand Staff Social Insurance Record
sfm11|大陸員工基數金額設定明細檔|MainLand Staff Base Amt. Set Statement
sgm01|扣繳憑單主檔|Ded.Docs. Mostly
sgm02|扣繳憑單明細檔|Ded.Docs. Statement
sgm03|保費繳納證明主檔|Work/Health Insurance Pay Prover Mostly
sgm04|保費繳納證明員工檔|Work/Health Insurance Pay Prover Staff
sgm05|保費繳納證明明細檔|Work/Health Insurance Pay Prover Statement
shm01|公司日曆檔|Company Calendar
shm02|常用假日設定檔|Commonly Holidays Setting
shm03|休息日設定檔|Rest Days Set
shm04|假日設定表頭檔|Holiday Setting Table Head
shm05|假日設定表身檔|Holiday Setting Table Body
smm01|員工考勤統計檔|Staff Attendance Statistical
smm02|員工薪資統計檔|Staff Salary Statistical
smm03|人事異動月統計檔|Personnel Change Month Statistical
spm01|員工基本資料 (暫定) FOR CRP|Staff Basic Data  FOR CRP
spm02|生管報工薪資項目設定|PC Conf. Salary Item Set
spm03|生管SQL各月件資費用計算統計|PC SQL Every Month Workpiece Expense Calculate Stat
spm04|每筆報工的薪資和發薪月份|Each Record Conf. Salary And Pay Salary Month
spm05|每筆報工的薪資和發薪月份|Each Record Conf. Salary And Pay Salary Month
spm06|每筆報工的薪資和發薪月份|Each Record Conf. Salary And Pay Salary Month
spm07|每筆報工的薪資和發薪月份|Each Record Conf. Salary And Pay Salary Month
spm08|工作中心之員工每日記工效率與加權|The Staff Of Staff Every Day Work Efficiency And Weighted
spm09|工作中心之員工報工薪資抽％計算|The Staff Of Staff Conf. Salary Take Out % Count
spm10|工作中心之員工報工薪資相關設定|The Staff Of Staff Conf. Salary Related Set
sqlupd|數據庫更新紀錄表|Database Update Record Table
sxm01|公司別系統參數設定|Company Type Set
sys01|用戶登錄登出信息|User Login Logout Information
sys02|用戶執行程式信息|User Run Program Information
sys03|當前在線用戶信息|Now Online User Information
systable|別單拷貝系統表|Copy From Other Doc. System Table
tam01|公司基本資料|Company Basic Data
tam02|公司信號|Company Signature
tam03|公司部門 for WACCT|Company Dept. For WACCT
tam04|相關公司|Relative Company
tam05|用戶資料|User Data
tam06|用戶操作資料|User Operation Data
tam07|用戶公司資料|User Company Data
tam08|流通表|Currency Table
tam09|流通歷史|Currency History
tam10|貨物關稅代碼|Freight Tariff Code
tam11|貨物表|Freight Table
tam12|代碼表|Code Table
tam13|價格條件設定|Price Term Setup
tam14|電話、傳真、Modem、聯絡人|Tel, Fax, Modem, Attn
tam15|表的代碼|Code Table
tam16|加工製程代碼設定|Process Process Code Set
tam17|碼頭/國家/區域|Port/Country/Area
tam18|用戶讀取資料之權限設定|User Read Data Popedom Set
tam19|基本資料可閱讀公司權設定|Basic Data Can Read Company Right Set
tam21|群組操作權限檔|Group Operation Right
tam22|群組檔|Group
tam23|用戶所屬群組|User Attributive Group
tam24|2006版menu桌面預設|2006 Edition Menu Desktop Default
tam25|海關三旬匯率|Cust. Cert. Three Period Exchange Rate
tam26|用戶簽名圖檔設定|User Underwrite Picture Setting
tbm01|客戶基本資料|Customer Basic Data
tbm02|客戶聯絡人|Customer Attention
tbm03|客戶銀行資料|Customer Bank Data
tbm04|客戶交貨地址|Customer Delivery Address
tbm05|客戶產品大類|Customer Item Catery
tbm06|客戶船運標記(不再使用)|Cust Shipping Mark (Not Use)
tbm08|客戶出貨嘜頭|Cust Shipping Mark Code
tbm09|客戶描述|Customer Remarks
tbm10|客戶產品資料|Customer Item Data
tbm11|客戶產品子描述|Customer Item Sub_Desc.
tbm12|客戶產品 S/P 包裝|Customer Item S/P Packing
tbm13|潛在客戶資料|Potential Customer Basic
tbm14|客戶連絡記錄檔|Customer Contact Record
tbm15|更多洽談內容|More Negotiation Content
tbm16|業務行程 : 公司推銷產品|Sales Journey:Company Marketing Item
tbm17|業務行程 : 競爭對手產品|Sales Journey:Items Of Competitor
tbm18|業務行程 : 客戶原有產品|Sales Journey:Customer Inhere Item
tbm19|特定客戶資料設定檔 ta2i06|Appointed Customer Data Set Ta2i06
tbm20|客戶價格設定表頭檔|Customer Price Set Table Head
tbm21|客戶價格設定明細檔|Customer Price Set Statement
tbm22|客戶產品補充說明檔|Customer Price Set Add Help
tbm23|業務行程狀況說明檔|Customer Price Set Status Explanation
tcm01|供應商基本資料|Supplier Basic Data
tcm02|供應商聯絡人|Supplier Attention
tcm03|供應商備注|Supplier Remarks
tcm04|供應商產品大類|Supplier Item Catery
tcm05|供應商產品|Supplier Item
tcm06|加工廠託工費用明細|Process Supplier Sub-Contract Expense Detail
tcm07|供應商銀行資料|Supplier Bank Data
tcm08|詢價主要資料|Inquiry Master Data
tcm09|詢價產品明細檔|Inquiry Item Statement
tcm10|詢價需求單表頭|Inquiry Demand Note Page Head
tcm11|紙箱/管料估價記錄|Paper Box/data Value Record
tcm12|產品大類公式維護檔|Item Category Formula Maintenance
tcm13|供應商產品詳細描述|Supplier Item Detail Description
tcm14|供應商付款方式|Supplier Payment Type
tcm15|客戶-供應商 產品|Cust-Supplier Item
tdm01|產品基本資料|Item Basic Data
tdm02|產品子描述|Item Sub_Description
tdm03|產品 自定欄１～７|Item User-defined Column 1~7
tdm04|產品 自定欄８|Item User-defined Column 8
tdm05|產品組合關係|Item Assembly
tdm06|產品贈品配件資料|Item Free Gift/Spare Parts
tdm07|產品成本比例資料|Item Cost Breakdown
tdm08|產品包裝資料|Item S/P Packing
tdm09|產品價格等級明細設定|Item Price Level Detail Setting
tdm10|促銷價格設定－主檔|Sales Promotion Price Set-Master
tdm11|促銷價格設定－明細檔|Sales Promotion Price Set-Detail
tdm12|產品大類描述|Item Catery Desc
tdm13|產品大類子描述|Item Catery Sub_Desc.
tdm14|產品供應商包裝|Item Supplier Packing
tdm15|產品資料 － 生產、其他加掛設定|Item Data - Itemion, Other Add Set
tdm17|產品－其他加掛明細設定|Item - Other Add Detail Set
tdm18|產品－其他加掛明細設定|Item - Other Add Detail Set
tdm19|產品－其他加掛明細設定|Item - Other Add Detail Set
tdm21|開發信件主檔|Promotion Letter Master
tdm22|開發信件明細檔|Promotion Letter Detail
tdm23|索樣基本資料|Sample Request Master Data
tdm24|索樣產品資料|Sample Request Detail Data
tdm25|樣品發票基本資料主檔|Sample Invoice -Master
tdm26|索樣產品資料明細檔|Sample Invoice -Detail
tem01|報價單主檔|Quotation -Master
tem01_vir|虛擬報價|Quotation Virtual
tem02|報價產品資料|Quotation Item Data
tem02_vir|虛擬報價產品資料|Quotation Item Data Virtual
tem03|原始單據備註|Document Remarks File
tem04|產品多行描述|Item Sub_Description
tem05|報價、訂單 產品組合|Quotation, S/C Item Assembly
tem06|報價、訂單 產品成本比例|Quotation, S/C Item Cost Breakdown
tem07|加扣款|Plus/Dedu.
tem08|報價、訂單、船運 利潤分析|Quotation, S/C, Shipping Profit Analysis
tem09|文件修改記錄＆說明|File Modify Record & Explanation
tem10|報價產品贈品配件|Quotation Item Free Gift/Spare Parts
tem11|客戶加掛功能之加扣款|Customer Add Function Plus/Dedu
tem12|客戶加掛功能之備註檔|Customer Add Function Remark
tem13|單據產品價格加掛檔|Paper Item Price Add
tem14|其他收支管理主檔|Other Income And Expenses Management Mostly
tem15|其他收支管理單據明細檔|Other Income And Expenses Management Docs. Detail
tem16|其他收支管理憑證記錄檔|Other Income And Expenses Management Docs. Record
tem17|加扣款 加掛檔  WEB0605000238|Plus/Dedu. Add WEB0605000238
tfm01|訂單主檔|S/C -Master
tfm02|訂單產品資料|S/C Item Data
tfm03|產品分批資料|S/C Item Shipping Schedule
tfm04|訂單出貨排程|S/C Shipping Schedule
tfm05|訂單選擇採購單|S/C Item Select P/O
tfm09|產品與報關合同規格對應表|Item And Apply To Customs Contract Specification Corresponding Table
tfm10|大陸報關合同主檔|MainLand Apply To Customs Contract Mostly
tfm11|報關合同規格數量明細檔|Cust.cont. Specification Quantity Statement
tfm12|報關合同規格沖銷明細檔|Cust.cont. Size Offset Statement
tgm01|採購單基本資料|P/O Master Data
tgm02|採購單產品資料|P/O Item Data
tgm03|採購單產品分批|P/O Item Shipping Schedule
tgm04|採購單排程主檔|P/O Shipping Schedule
tgm05|采購單明細合計|P/O Detail Payed
tgm06|採購建議拋轉主檔|P/O Advice Migrated Mostly
tgm07|採購建議拋轉明細檔|P/O Advice Migrated Statement
tgm08|採購建議已分配明細|P/O Advice Reserved Detail
tgm09|採購單拋轉S/C 記錄|P/O Migrated S/C Record
thm01|出貨基本資料|Shipping Master Data
thm02|訂單出貨資料|Shipping S/C Data
thm03|產品包裝資料|Packing Item Date
thm04|出貨產品資料|Invoice Item Date
thm05|出貨產品供應商成本資料|Invoice Item Supplier Cost
thm06|出貨運送標記|Invoice Shipping Mark
thm07|出貨產品子描述|Invoice Item Sub_Desc
thm08|其他費用|Shipping Extra Charge
thm09|出貨通知給供應商基本資料|Shipping Advice To Supplier
thm10|出貨通知產品資料|Shjpping Advice To Supplier
thm12|出貨產品利潤|Invoice Item Profit
tim01|信用狀基本資料|L/C Basic Data
tim02|信用狀的封面|L/C Covering
tim03|信用狀特殊說明|L/C Special Instruction
tim04|信用狀分配訂單產品資料|L/C Allocate S/C Data
tim05|信用狀押匯資料|L/C Netiation Data
tjm01|索賠資料主檔|Claim--Master Data
tjm02|索賠產品明細檔|Claim Detail Data
tlm01|客戶帳款資料|Customer Account Data
tlm02|客戶帳款已開發票資料|Customer Account Already Open Invoice Data
tlm03|客戶收款沖帳主檔|Customer Receipts Offset Mostly
tlm04|客戶收款沖帳-票據明細|Customer Receipts Offset-Note Detail
tlm05|客戶收款沖帳-其他匯款|Customer Receipts Offset-other Remit
tlm06|客戶收款沖帳明細檔|Customer Receipts Offset Detail Data
tlm07|廠商帳款資料|Supplier Account Data
tlm08|廠商帳款收到發票資料|Supplier Account Receipts Invoice Data
tlm09|廠商付款沖帳主檔|Supplier Payment Offset Mostly File
tlm10|廠商付款沖帳-票據明細|Supplier Payment Offset-Note Detail
tlm11|廠商付款沖帳-其他匯款|Supplier Payment Offset-other Remit
tlm12|廠商付款沖帳明細檔|Supplier Payment Offset Detail Data
tlm13|客戶收款掛帳明細檔|Supplier Payment Add Detail Data
tlm14|廠商付款掛帳明細檔|Supplier Payment Add Detail
tlm15|供應商應付帳款 T 帳款明細|Supplier Acct. Payable T Account Detail
tlm17|依產品別沖帳主檔|By Product Type Offset Mostly
tlm18|依產品別沖帳明細主檔|By Product Type Offset Detail Mostly
tlm19|匯款主檔|Remit Mostly
tlm20|匯款明細檔|Remit Detail
tmm01|用戶日志檔|User Log
tmm01_log|用戶日志檔二|User Log 2
tmm02|公司統計檔|Company Statistical
tmm03|產品統計檔|Item Statistical
tmm04|供應商+產品統計檔|Customer + Item Statistical
tmm05|業務員 + 產品統計檔|Satff + Item Statistical
tmm06|供應商 + 產品 統計檔|Supplier + Item Statistical
tmm07|客戶統計檔|Customer Statistical
tmm08|業務員統計檔|Staff Statistical
tmm09|供應商統計檔|Supplier Statistical
tmm10|客戶收款沖帳統計檔|Customer Receipts Offset Statistical
tmm11|多層欄位統計 表頭檔|Multilayer Field Statistical Table Heading
tmm12|多層欄位統計 統計檔|Multilayer Field Statistical
tmm13|公司+產品 統計檔|Company + Item Statistical
tmm14|公司+客戶 統計檔|Company + Customer Statistical
tmm15|公司+業務員 統計檔|Company + Staff Statistical
tmm16|公司+供應商 統計檔|Company + Supplier Statistical
tmm17|統計分析條件設定檔|Statistic Analysis Condition Set
tmm18|統計分析顯示設定檔|Statistic Analysis Display Set
tmm19|統計分析項目設定檔|Statistic Analysis Item Set
tmm20|統計分析欄位設定檔|Statistic Analysis Field Set
tmm21|統計分析用戶設定檔|Statistic Analysis User Set
tmm22|統計分析公司產品大類檔|Company + Item Category Statistical
tmm23|Company + Item MODEL# + CUSTOMER 統計檔|Company + Item MODEL# + Customer Statistical
tmp|tmp(臨時表)|tmp(Temporary Table)
tnm01|歷史資料|History Data
tnm02|每種單據的最後一筆交易|Each Paper The Last One Trade
tnm04|託工歷史檔|Sub-Contract History Data
toexcel1|trade98 拋轉 Excel檔名|Trade98 Throw Excel FileName
toexcel2|trade98 拋轉 Excel|Trade98 Throw Excel
toexcel3|trade98.tem04拋Excel|Trade98.tem04 Throw Excel
toexcel4|trade98.tem06拋Excel|Trade98.tem06 Throw Excel
tpm03|出貨拋銷/進貨單查詢|Invoice Migrated SO/I.B. Deliv. Order Query
tpm04|拋託工單查詢|Migrated Sub-contract Query
tq3r67|規格項目檔|Spec Item
tqm01|催貨單號主檔|Presses For Delivery Of Goods No Mostly
tqm02|催貨單 S/C|Presses For Delivery Of Goods No S/C
tqm03|催貨單 P/O|Presses For Delivery Of Goods No P/O
tqm04|材質價格表|Material Properties Price Table
tqm05|材料成本分析表|Material Cost Analyse Table
tqm06|出貨預排作業主檔|Ship Pre-assigned Operation Mostly
tqm07|出貨預排作業明細檔|Ship Pre-assigned Operation Statement
tqm08|產品大類、中類系列代碼設定|Item Category, Hit-Category Series Code Set
tqm09|產品中類系列品項設定|Item Hit-Category Series Item Set
tqm15|出貨資料機械序號檔|Ship Data Machine Series No. File
tqm16|出貨通知單表頭檔|Requisition Table Heading
tqm17|出貨通知單表身檔|Requisition Table Body
tqm19|產品型錄設定可調整項目|Item Catalog Setting Adjust Item
tqm20|產品型錄設定可調整項目|Item Catalog Setting Adjust Item
tqm21|產品款式表頭|Item Style Table Head
tqm22|產品款式表身|Item Style Table Body
tqm23|規格項目主檔|Spec Item
tqm24|規格項目明細檔|Spec Item Detail
tqm26|產品尺寸顏色明細資料|Item Size Color Detail Data
trm01|出貨分析表客戶記錄檔|Statement's Customer Record
trm02|出貨分析表產品記錄檔|Statement's ItemNo Record
trs01|Excel To Sql 設定檔|Excel To Sql Set
trs02|Excel To Sql 來源文件紀錄檔|Excel To Sql Source File Record
trs03|Excel To Sql 欄位記錄檔|Excel To Sql Field Record
trs_tmp|Excel To Sql 欄位記錄臨時檔|Excel To Sql Field Record Temp
tsm01|系統啟動設定|System Start Setting
tsm02|程式設定|TsmProgram Set
tsm03|單位設定表|Item Unit Table
tsm04|報表程式設定|Report Setup
tsm05|業務用語|Document Sales Talk
tsm06|文件常用條款表身|Document Remark Setup
tsm07|代碼別|Code Table
tsm08|C.C.C. Code|C.C.C. Code
tsm09|代碼設定表|Code Table
tsm10|單據號碼自動給號檢查|Docs. No. Automatically Numbering Check File
tsm11|４大ＡＰ行事曆|Four AP Schedule
tsm12|報表最後一次選項條件|Report The Last Select-option
tsm13|起運口岸資料設定|Start Shipment Port Data Setting
tsm15|控制某些設定檔的載入功能有哪些|How Many Ctrl Some Setting File's Load Function
typecode|typecode(不再使用)|Typecode(Not Use)
vir|vir(臨時表)|vir(Temp Table)

(925 個受影響的資料列)
